code,age,trials,trials__correct,trials__keypresses__timestamp
u7j0h1gjs0hiS4RZ,25,429,True,2020-11-11T15:47:02.573000+00:00
u7j0h1gjs0hiS4RZ,25,429,True,2020-11-11T15:47:02.829000+00:00
u7j0h1gjs0hiS4RZ,25,430,True,2020-11-11T15:47:08.178000+00:00
u7j0h1gjs0hiS4RZ,25,430,True,2020-11-11T15:47:08.408000+00:00
u7j0h1gjs0hiS4RZ,25,430,True,2020-11-11T15:47:08.626000+00:00
u7j0h1gjs0hiS4RZ,25,430,True,2020-11-11T15:47:08.952000+00:00
u7j0h1gjs0hiS4RZ,25,430,True,2020-11-11T15:47:09.172000+00:00
u7j0h1gjs0hiS4RZ,25,431,True,2020-11-11T15:47:14.558000+00:00
u7j0h1gjs0hiS4RZ,25,431,True,2020-11-11T15:47:14.848000+00:00
u7j0h1gjs0hiS4RZ,25,431,True,2020-11-11T15:47:15.079000+00:00
u7j0h1gjs0hiS4RZ,25,431,True,2020-11-11T15:47:15.390000+00:00
u7j0h1gjs0hiS4RZ,25,431,True,2020-11-11T15:47:15.634000+00:00
u7j0h1gjs0hiS4RZ,25,432,True,2020-11-11T15:47:21.043000+00:00
u7j0h1gjs0hiS4RZ,25,432,True,2020-11-11T15:47:21.238000+00:00
u7j0h1gjs0hiS4RZ,25,432,True,2020-11-11T15:47:21.510000+00:00
u7j0h1gjs0hiS4RZ,25,432,True,2020-11-11T15:47:21.733000+00:00
u7j0h1gjs0hiS4RZ,25,432,True,2020-11-11T15:47:21.920000+00:00
